"sname","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c15","c16","c17"
"A0101 專業聯合中心","3,428",40,114,"223","374","537","707","866","1,014","1,175","1,331","1,474","1,618","1,755","1,920","2,032"
"A0102 香港公園體育館","4,973",52,131,"261","467","663","841","1,025","1,243","1,501","1,730","1,975","2,193","2,355","2,580","2,834"
"A0201 高主教書院","7,266",86,313,"771","771","1,121","1,421","1,734","1,989","2,351","2,748","3,203","3,447","3,807","4,313","4,767"
"A0301 香港真光幼稚園(堅道)","4,414",44,163,"329","506","678","885","1,169","1,308","1,489","1,705","1,905","2,111","2,317","2,521","2,805"
"A0302 食物環境衛生署食物安全中心(醫院道辦事處)","1,750",17,56,"108","174","245","327","396","469","567","661","748","823","895","987","1,056"
"A0401 德瑞國際學校山頂校舍","1,191",22,35,"62","106","175","228","271","303","365","421","490","545","584","643","703"
"A0501 西營盤社區綜合大樓社區會堂","7,591",112,251,"507","820","1,153","1,527","1,936","2,314","2,719","3,093","3,412","3,785",NA,NA,NA
"A0601 香港基督教女青年會西環綜合社會服務處","7,094",113,327,"634","928","1,257","1,604","1,913","2,218","2,549","2,854","3,130","3,443","3,814","4,210","4,555"
"A0701 士美非路體育館","9,112",190,496,"868","1,211","1,557","1,998","2,358","2,721","3,060","3,528","3,920","4,308","4,704","5,213","5,641"
"A0801 堅尼地城社區綜合大樓 (綜合用途室)","7,619",114,327,"600","970","1,376","1,674","2,046","2,434","2,778","3,159","3,448","3,763","4,135","4,558","4,926"
"A0901 維多利亞（寶翠園）幼稚園","9,778",96,341,"659","945","1,313","1,607","1,935","2,250","2,569","2,949","3,336","3,751","4,133","4,520","5,892"
"A1001 石塘咀體育館","9,938",178,419,"699","1,186","1,460","1,813","2,147","2,147","2,907","3,385","3,782","4,152","4,400","4,979","5,770"
"A1101 中西區及離島區社會保障辦事處","4,907",74,210,"358","548","748","960","1,156","1,377","1,578","1,751","1,948","2,144","2,349","2,540","2,721"
"A1102 中山紀念公園體育館","2,327",51,105,"161","254","339","416","495","573","663","766","853","933",NA,NA,NA
"A1201 上環郵政局","5,315",59,196,"382","620","863","1,111","1,362","1,594","1,858","2,092","2,357","2,570","2,784","3,029","3,219"
"A1301 新會商會學校","1,991",42,89,"158","237","315","392","471","558","648","764","845","926","997","1,085","1,158"
"A1302 聖公會聖馬太小學","4,532",52,163,"335","554","748","987","1,198","1,428","1,644","1,816","1,974","2,187","2,380","2,559","2,752"
"A1401 基督教香港崇真會救恩堂及救恩學校","6,583",114,287,"533","833","1,183","1,443","1,443","1,987","2,289","2,494","2,789","3,122","3,435","3,863","4,131"
"A1501 李陞小學","5,166",75,251,"400","646","889","1,138","1,368","1,583","1,819","2,007","2,195","2,441","2,677","2,988","3,288"
"B0101 軒尼詩道官立小學","5,521",48,185,"365","607","826","1,083","1,302","1,544","1,816","2,036","2,239","2,424","2,642","2,834","3,020"
"B0201 鄧肇堅維多利亞官立中學","5,057",70,193,"372","554","782","979","1,191","1,435","1,643","1,893","2,172","2,369",NA,NA,NA
"B0301 前灣仔學校","7,332",0,261,"490","673","1,162","1,362","1,362","1,886","2,180","2,757","3,069","3,069","3,616","3,787","4,031"
"B0401 皇仁書院","8,029",86,253,"498","828","1,147","1,522","1,809","2,194","2,541","2,928","3,338","3,636","3,991","4,400","4,835"
"B0501 港島兒童蒙特梭利學校","1,491",19,62,"108","184","272","343","410","488","558","635","700","775","826","900","989"
"B0502 勵德邨邨榮樓有蓋停車場","4,252",78,243,"418","628","776","962","1,162","1,372","1,551","1,684","1,874","2,105","2,253","2,426","2,595"
"B0601 灣仔區文娛康樂體育會","5,046",49,143,"255","455","644","811","1,001","1,173","1,420","1,614","1,820","1,988","2,144","2,346","2,549"
"B0701 港灣婦女會","5,756",67,192,"393","609","840","1,091","1,342","1,558","1,773","2,066","2,372","2,632","2,899","3,133","3,586"
"B0801 中華基督教會公理高中書院","6,060",70,182,"356","650","929","1,162","1,413","1,709","2,032","2,256","2,589","2,910","3,203","3,490","3,863"
"B0901 禮頓山社區會堂","5,438",54,163,"312","522","738","991","1,315","1,647","1,907","2,152","2,442","2,641","2,928","3,224","3,627"
"B1001 黃泥涌體育館","5,202",68,225,"345","546","796","1,043","1,250","1,497","1,722","1,965","2,186","2,377","2,604","2,846","3,113"
"B1101 寶血小學","1,186",32,58,"100","152","228","293","331","377","435","498","541","582","627","709","759"
"B1102 香港青少年服務處成和青少年中心","1,742",36,63,"95","163","211","294","369","461","562","628","702","759","827","909","986"
"B1201 灣仔郵政局","4,718",70,183,"337","528","725","940","1,147","1,343","1,576","1,755","1,955","2,162","2,381","2,602","2,823"
"B1301 循道衛理中心","4,801",83,216,"386","629","869","1,061","1,233","1,428","1,633","1,830","2,023","2,203","2,404","2,623","2,769"
"C0101 東區少年警訊會所","8,948",97,288,"537","805","1,057","1,343","1,611","1,939","2,200","2,529","2,827","3,116","3,461","3,822","5,529"
"C0201 聖安娜中英文幼稚園","5,092",69,197,"336","528","730","954","1,137","1,362","1,583","1,848","2,076","2,310","2,570","2,827","3,343"
"C0202 太古城郵政局","4,946",83,169,"323","543","754","1,000","1,189","1,400","1,624","1,875","2,082","2,304","2,516","2,755","3,351"
"C0301 西灣河健康中心","6,589",87,128,"392","828","1,125","1,426","1,814","2,054","2,341","2,672","2,982","3,349","3,579","3,871","4,705"
"C0401 中華基督教會基灣小學 (愛蝶灣)","11,461",153,397,"774","1,213","1,725","2,159","2,612","3,103","3,590","4,119","4,577","5,000","5,510","6,044","6,679"
"C0501 筲箕灣郵政局","5,720",85,225,"401","632","867","1,188","1,424","1,721","1,998","2,198","2,509","2,740","3,000","3,300","3,548"
"C0601 愛秩序灣官立小學","5,799",66,166,"347","589","810","1,022","1,222","1,518","1,764","1,998","2,233","2,494","2,772","3,109","3,466"
"C0602 筲箕灣官立小學","6,096",88,281,"520","785","1,067","1,306","1,566","1,781","2,036","2,297","2,533","2,761","3,012","3,245","3,446"
"C0701 嶺南中學","10,859",132,397,"786","1,195","1,834","2,321","2,957","3,486","4,099","4,705","5,278","5,880","6,471","7,059","8,192"
"C0801 聖公會李福慶中學","8,217",156,356,"642","902","1,261","1,592","1,944","2,272","2,611","2,990","3,320","3,657","3,969","4,387","4,731"
"C0901 福建中學 (小西灣)","9,351",96,246,"531","926","1,377","1,778","2,198","2,657","3,181","3,664","4,109","4,544","4,921","5,362","6,148"
"C1001 小西灣社區會堂","10,342",114,337,"683","1,051","1,444","1,846","2,319","2,679","3,125","3,595","4,049","4,644","5,111","5,444","5,885"
"C1101 嶺南衡怡紀念中學","11,300",191,487,"868","1,315","1,830","2,304","2,763","3,236","3,768","4,366","4,849","5,353","5,807","6,431","7,086"
"C1201 救世軍中原慈善基金學校","8,549",114,287,"601","877","1,190","1,492","1,798","2,182","2,558","2,838","3,168","3,505",NA,NA,NA
"C1301 文理書院 (香港)","9,180",126,391,"686","1,096","1,457","1,760","2,117","2,461","2,819","3,155","3,517","3,783",NA,NA,NA
"C1401 鰂魚涌體育館","10,450",172,431,"792","1,212","1,619","1,993","2,448","2,876","3,316","3,776","4,270","4,698","5,213","5,659","6,090"
"C1501 閩僑中學","7,007",96,273,"459","742","1,077","1,349","1,719","1,987","2,419","2,786","3,137","3,506","3,806","4,195","4,726"
"C1601 金文泰中學","6,418",106,248,"478","740","1,077","1,324","1,603","1,937","2,267","2,603","2,905","3,191","3,478","3,771","4,226"
"C1701 銅鑼灣社區中心","4,185",61,175,"304","529","730","892","1,084","1,267","1,459","1,629","1,808","2,008","2,192","2,372","2,569"
"C1801 渣華道體育館","10,217",167,433,"779","1,188","1,593","1,916","2,313","2,678","3,122","3,568","3,914","4,282","4,762","5,174","5,540"
"C1802 顯理中學","13,068",218,583,"1,103","1,686","2,308","2,865","3,476","4,126","4,814","5,428","5,992","6,563","7,186","7,840","8,390"
"C1901 北角衞理小學","5,024",52,203,"350","549","763","1,017","1,231","1,490","1,752","1,969","2,206","2,483",NA,NA,NA
"C2001 香港遊樂場協會賽馬會北角港運城青少年綜合服務中心","3,286",47,136,"288","438","597","749","934","1,115","1,272","1,447","1,577","1,757","1,931","2,094","2,265"
"C2101 啟基學校 (港島)","9,361",144,300,"682","1,125","1,633","2,057","2,057","2,057","3,614","4,000","4,441","4,768","5,204","5,676","6,108"
"C2201 丹拿山循道學校","4,867",51,202,"379","658","859","1,138","1,367","1,625","1,811","2,016","2,197","2,391","2,576","2,775","3,020"
"C2301 北角官立小學","6,290",111,258,"497","803","1,077","1,338","1,593","1,878","2,166","2,432","2,668","2,922","3,231","3,509","3,786"
"C2401 鰂魚涌社區會堂","8,623",109,478,"790","1,199","1,683","2,151","2,520","2,970","3,532","3,947","4,303","4,721","5,134","5,550","5,941"
"C2501 佛教中華康山學校","5,578",98,232,"232","876","1,242","1,547","1,702","2,063","2,319","2,560","2,888","3,170","3,440","3,852","4,161"
"C2601 太古小學","9,730",132,328,"676","1,101","1,745","2,183","2,794","3,277","3,632","4,164","4,715","5,102","5,632","6,153","6,870"
"C2701 青松興東幼稚園","6,175",93,253,"486","718","967","1,157","1,407","1,723","1,988","2,255","2,492","2,773","3,030","3,351","3,681"
"C2702 伊斯蘭徐錦享紀念幼稚園","6,365",85,222,"471","705","934","1,143","1,448","1,719","1,986","2,243","2,465","2,793","3,062","3,347","3,805"
"C2801 西灣河體育館","11,762",150,466,"823","1,421","1,889","2,404","2,869","3,419","3,948","4,472","4,980","5,548","6,059","6,607","7,199"
"C2901 勵志會梁李秀娛紀念小學","7,492",88,281,"523","831","1,177","1,443","1,732","2,011","2,328","2,634","2,962","3,274","3,600","3,956","4,275"
"C2902 筲箕灣街坊福利事務促進會有限公司","3,750",60,166,"300","441","651","824","1,008","1,189","1,370","1,546","1,708","1,872","2,084","2,284","2,447"
"C3001 循道愛華村服務中心社會福利部 - 愛華青少年綜合服務隊 (耀東服務處)","5,615",79,211,"376","616","838","1,059","1,249","1,445","1,705","1,946","2,178","2,411","2,665","2,916","3,306"
"C3101 粵南信義會腓力堂興民幼兒學園","4,886",66,175,"338","521","754","918","1,114","1,311","1,515","1,690","1,894","2,062","2,300","2,499","2,705"
"C3102 路德會聖雅各幼稚園","4,973",136,236,"364","563","776","922","1,093","1,263","1,453","1,595","1,887","2,064","2,285","2,529","2,741"
"C3201 天主教明德學校","6,836",88,238,"509","768","1,131","1,354","1,658","2,052","2,387","2,646","2,953","3,187","3,462","3,863","4,232"
"C3301 柴灣母嬰健康院","4,090",67,182,"306","487","717","875","1,123","1,329","1,549","1,783","1,954","2,135","2,321","2,543","2,780"
"C3401 漁灣社區會堂","12,587",145,480,"942","1,514","2,026","2,563","3,056","3,612","4,248","4,940","5,445","5,932","6,425","7,051","7,579"
"C3501 香港中華基督教青年會 - 柴灣會所","6,207",102,235,"421","641","868","1,106","1,309","1,548","1,821","2,077","2,334","2,555","2,835","3,127","3,520"
"D0101 香港仔體育館","10,460",173,401,"744","1,195","1,543","2,051","2,371","2,762","3,242","3,657","3,966","4,527","4,999","5,536","6,540"
"D0201 鴨脷洲社區會堂","8,490",151,367,"704","1,034","1,395","1,603","1,891","2,161","2,494","2,494","3,132","3,401","3,755","4,037","4,311"
"D0301 鴨脷洲體育館","6,015",73,250,"460","734","1,011","1,304","1,614","1,797","2,082","2,329","2,573","2,851","3,129","3,496","3,821"
"D0401 聖伯多祿天主教小學","10,188",148,346,"671","1,023","1,405","1,762","2,202","2,538","2,944","3,352","3,817","4,225","4,652","5,110","5,616"
"D0501 利東社區會堂","9,006",108,389,"713","1,021","1,309","1,603","1,898","2,183","2,551","2,870","3,198","3,550","3,888","4,275","4,625"
"D0601 香港南區官立小學","7,751",130,342,"637","1,080","1,505","1,872","2,248","2,565","3,070","3,524","3,928","4,328","4,708","5,258","5,813"
"D0701 海怡社區中心","8,569",118,374,"688","1,074","1,545","1,993","2,467","2,942","3,389","3,803","4,265","4,764","5,201","5,877","6,528"
"D0801 華貴社區會堂","10,887",110,398,"763","1,211","1,595","1,926","2,336","2,701","3,178","3,605","4,112","4,540","4,926","5,451","6,009"
"D0901 明愛莊月明中學","7,650",109,348,"609","909","1,153","1,382","1,640","1,895","2,163","2,439","2,736","3,031",NA,NA,NA
"D1001 東華三院鶴山學校","8,718",127,317,"675","888","1,163","1,445","1,751","2,056","2,341","2,699","3,019","3,341","3,649","3,995","4,333"
"D1101 沙宣道會堂","1,515",25,44,"87","132","189","240","301","351","438","512","574","613","674","737","804"
"D1102 上碧瑤灣遊樂場","2,310",30,79,"142","239","325","422","532","625","729","891","993","1,113","1,248","1,385","1,509"
"D1103 數碼港郵政局","2,071",38,87,"184","279","389","484","592","726","844","959","1,048","1,130","1,239","1,352","1,444"
"D1201 展亮技能發展中心 (薄扶林)","778",10,29,"55","71","97","114","131","154","187","210","248","270","300","320","367"
"D1202 置富南區會堂","8,492",207,491,"815","1,216","1,698","2,058","2,481","2,902","3,264","3,672","4,112","4,556","4,930","5,362","5,961"
"D1301 明愛賽馬會香港仔服務中心","2,319",36,70,"119","221","293","389","468","574","668","767","859","969","1,066","1,208","1,322"
"D1302 聖公會田灣始南小學","6,764",102,307,"458","721","926","1,141","1,357","1,550","1,789","2,031","2,317","2,552","2,860","3,161","3,380"
"D1401 香港仔聖伯多祿天主教小學","11,369",123,371,"700","1,051","1,384","1,769","2,100","2,100","2,977","3,385","3,668","3,963","4,378","4,887","5,604"
"D1501 香港仔網球及壁球中心","2,638",21,91,"178","289","386","499","618","720","836","948","1,043","1,164","1,285","1,416","1,577"
"D1502 南區長者地區中心","6,261",219,301,"501","705","955","1,231","1,441","1,701","2,015","2,311","2,626","2,915","3,160","3,498","3,944"
"D1601 黃竹坑體育館","1,733",34,51,"120","189","254","323","369","438","521","615","704","784","824","883","963"
"D1602 香港國際學校","2,049",33,78,"138","222","326","380","443","529","631","725","821","906","986","1,090","1,179"
"D1701 赤柱社區會堂","6,472",138,322,"557","806","1,064","1,296","1,548","1,755","1,995","2,216","2,472","2,729","2,991","3,214","3,549"
"D1702 石澳健康院","1208",17,48,"100","170","248","301","374","438","438","464","506","556","608","678","744"
"E0101 仁愛堂陳鄭玉而幼稚園","4259",62,157,"294","521","718","927","1129","1362","1591","1751","1936","2122","2538","2615","2896"
"E0201 九龍公園體育館","12048",151,348,"703","1061","1401","1800","2237","2681","3066","3567","3981","4439","4775","5259","5659"
"E0401 梁顯利油麻地社區中心","7837",107,293,"521","841","1159","1496","1734","2078","2422","2758","3019","3349","3678","3997","4427"
"E0501 油蔴地天主教小學(海泓道)","13549",197,523,"907","1396","1922","2491","3042","3605","4200","4746","5326","5969","6462","7164","8390"
"E0601 旺角社區會堂","5906",71,175,"362","570","757","955","1153","1318","1557","1745","1969","2164","2337","2521","2678"
"E0701 明我幼稚園（奧運校）","5732",79,252,"516","749","931","1133","1307","1515","1712","1951","2152","2392","2656","2889","3134"
"E0801 香港保護兒童會中銀幼兒學校","5,473",43,185,"365","598","837","1,103","1,454","1,717","1,976","2,262","2,549","2,819","3,110","3,388","3,832"
"E0901 路德會沙崙學校","5,509",88,227,"408","639","860","1,108","1,356","1,562","1,826","2,033","2,249","2,472","2,730","3,004","3,236"
"E1001 大角嘴天主教小學","6,574",98,253,"489","713","1,072","1,185","1,434","1,696","1,957","2,267","2,580","2,847","3,145","3,438","3,746"
"E1101 中華基督教會基全小學","7,741",125,326,"623","985","1,280","1,549","2,002","2,326","2,698","3,086","3,511","3,782","4,149","4,527","4,868"
"E1201 鮮魚行學校","7,557",113,274,"494","785","1,100","1,394","1,674","1,993","2,302","2,639","2,943","3,238","3,535","3,805","4,093"
"E1301 聖公會基榮小學","6,365",96,241,"441","670","896","1,108","1,364","1,635","1,892","2,128","2,370","2,591","2,824","3,044","3,273"
"E1401 界限街一號體育館","6,163",102,277,"499","730","987","1,247","1,503","1,729","1,998","2,252","2,491","2,729","3,001","3,268","3,578"
"E1501 優才(楊殷有娣)書院","5,560",59,183,"365","585","792","960","1,155","1,393","1,620","1,848","2,048","2,222","2,419","2,600","2,838"
"E1601 東華三院羅裕積小學","5,324",70,214,"400","578","799","966","1,172","1,411","1,612","1,864","2,037","2,274","2,468","2,693","2,931"
"E1701 油蔴地街坊會學校","3,043",45,114,"239","373","540","637","772","955","1,099","1,212","1,324","1,546","1,661","1,819","1,955"
"E1702 香港理工大學紅磡灣校園","568",6,21,"40","63","98","116","145","179","202","226","255","283","301","323","340"
"E1901 佐敦道官立小學","10,752",125,337,"716","1,032","1,460","1,875","2,266","2,687","3,149","3,611","3,989","4,431","4,739","5,072","5,479"
"F0101 保安道體育館","7,631",95,269,"528","774","1,078","1,456","1,764","2,077","2,430","2,751","3,102","3,416","3,660","4,004","4,402"
"F0201 福榮街官立小學","6,824",73,223,"469","686","1,015","1,379","1,687","1,982","2,321","2,603","2,928","3,202",NA,NA,NA
"F0301 英華女學校","5,870",63,212,"423","624","872","1,038","1,297","1,540","1,762","1,984","2,172","2,378","2,606","2,878","3,156"
"F0401 石硤尾社區會堂","10,482",129,432,"870","1,322","1,703","2,091","2,529","2,906","3,342","3,713","4,135","4,549","4,903","5,358","5,817"
"F0501 基督教香港崇真會安康幼兒學校","6,444",83,241,"483","760","1,020","1,213","1,464","1,729","2,001","2,248","2,483","2,733","3,015","3,330","3,623"
"F0601 深水埔街坊福利事務促進會","6,445",87,253,"461","697","932","1,113","1,393","1,634","1,934","2,181","2,422","2,623","2,856","3,150","3,398"
"F0701 北河街體育館","4,986",78,201,"350","549","748","921","1,105","1,265","1,447","1,631","1,824","1,985","2,155","2,337","2,495"
"F0801 南昌社區中心","7,720",96,251,"467","720","973","1,217","1,488","1,742","2,036","2,311","2,579","2,944","3,240","3,671","3,943"
"F0901 英華書院","11,250",168,457,"457","1,339","1,611","2,037","2,336","2,731","3,127","3,590","4,030","4,510","4,967","5,647","6,173"
"F1001 麗閣社區會堂","9,105",104,357,"669","1,055","1,445","1,782","2,294","2,521","2,906","3,262","3,681","3,938","4,310","4,662","5,082"
"F1101 旅港開平商會學校","6,125",134,360,"573","793","1,056","1,245","1,453","1,777","2,019","2,234","2,482","2,725","2,971","3,299","3,559"
"F1201 聖公會聖馬利亞堂莫慶堯中學","10,722",162,433,"817","1,192","1,615","1,997","2,485","3,082","3,082","3,082","4,696","4,919","5,453","5,840","6,516"
"F1301 美孚新邨孚佑堂","8,730",101,315,"614","1,007","1,375","1,854","2,288","2,703","3,157","3,621","4,011","4,430","4,818","5,369","5,933"
"F1401 博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心","7,442",107,288,"548","890","1,231","1,563","1,945","2,293","2,738","3,064","3,413","3,783","4,090","4,468","4,971"
"F1501 荔枝角公園體育館","8,175",143,353,"668","1,086","1,504","1,831","2,237","2,652","3,070","3,455","3,854","4,182","4,556","5,013","5,520"
"F1601 荔枝角社區會堂","7,565",95,267,"534","960","1,287","1,683","1,683","3,366","3,366","3,599","4,037","4,343","4,845","5,289","5,833"
"F1701 五邑工商總會學校","4,583",82,215,"390","590","769","936","1,140","1,317","1,527","1,745","1,922","2,127","2,305","2,540","2,753"
"F1801 長沙灣體育館","10,420",164,512,"970","1,459","1,854","2,258","2,673","3,084","3,463","3,829","4,200","4,587","4,932","5,328","5,791"
"F1901 長沙灣社區中心","9,260",116,388,"716","1,064","1,440","1,761","2,157","2,523","2,906","3,343","3,578","3,962","4,312","4,727","5,092"
"F2001 白田社區會堂","7,895",91,261,"564","784","1,097","1,321","1,625","1,880","2,195","2,477","2,751","3,055","3,394","3,719","4,072"
"F2101 聖母玫瑰書院","5,918",82,202,"394","610","846","1,166","1,445","1,716","2,006","2,297","2,530","2,871","3,165","3,517","3,987"
"F2201 大坑東社區中心","8,996",126,336,"722","1,080","1,439","1,719","2,027","2,438","2,805","3,196","3,562","3,980","4,297","4,682","5,062"
"F2301 白田天主教小學","3,797",35,139,"281","411","524","639","770","924","1,105","1,249","1,405","1,589","1,769","1,926","2,076"
